LESSTHAN80,LTHS_25TO34_PCT,TOT_POP,TOT_HOUSING_UNITS,UNEMPLRT,POVRT,PASSED_THRESHOLD,CDBG_PER_PR_RESID
18695,2.23,109081,46156,5.83,17.67,1,192.32259616940922
6810,1.96,39089,20065,3.85,19.68,1,240.71104109229356
42755,3.46,236198,95238,4.4,15.98,1,203.17862138958225
12430,1.48,78725,33924,4.94,14.36,1,96.64706297603567
1455,3.62,6477,3878,5.79,22.42,1,97.80188125894135
3170,7.5,21425,9881,3.56,14.77,1,7.758628205128205
3035,3.09,16511,8030,7.83,14.0,1,414.766069027342
1800,5.0,8963,4362,13.81,27.04,1,326.6036217303823
1440,4.05,13278,4693,1.67,19.71,1,246.88520345252775
2155,2.1,12345,6534,7.89,14.2,1,161.02702797202798
3465,0.99,21619,10173,6.14,16.39,1,1128.2564585730725
10815,1.61,73163,29737,4.74,11.97,1,69.31466574298581
3265,1.41,16586,9546,6.0,18.59,1,936.536866359447
7760,3.71,43515,19576,8.12,17.74,1,309.54961445783135
7280,1.75,41396,20572,8.91,21.43,1,953.9675876026369
1455,5.45,6879,4445,6.24,22.92,1,421.8155526992288
1650,8.48,8964,5875,7.53,18.54,1,45.73362913096695
1405,12.45,8249,4595,5.57,21.34,1,189.08784965034965
4525,3.17,23597,13110,7.46,21.64,1,51.006764822920815
1980,0.18,10342,4993,5.35,16.2,1,376.18243667068754
3795,0.5,18151,10243,14.42,31.35,1,127.3718738930216
4370,8.39,23747,10994,4.71,20.44,1,202.96447451892578
3700,1.41,19999,10130,10.51,22.2,1,82.17398810884976
9490,2.33,63926,26373,5.7,15.87,1,382.48312467451314
71570,2.77,393078,185460,4.98,15.77,1,81.45783515653231
3295,2.5,17934,8629,4.26,18.94,1,287.67885161680266
5235,2.2,25477,10969,5.99,28.43,1,127.61897280966767
15710,0.98,120990,49149,3.92,8.42,1,224.09633150821304
1850,1.44,10269,5283,5.81,17.37,1,420.37469525959364
1715,6.27,7898,4951,3.66,25.87,1,134.09429280397023
20870,2.65,127670,57127,4.94,16.74,1,137.60235140524117
2255,7.98,16947,6986,4.88,19.78,1,87.41109101868595
3795,4.14,17217,9894,5.2,18.08,1,459.73499018966646
2500,6.91,12582,6927,8.22,20.4,1,376.0873909626719
19460,9.64,155925,50480,9.62,19.04,1,193.66561649205332
47255,6.18,259441,112319,4.54,6.9,1,315.94959764867025
15660,5.73,87110,40874,8.64,16.27,1,294.6581104171154
38490,6.91,273661,86691,10.69,18.75,1,57.58158347298699
245355,2.58,1537948,572916,6.41,13.85,1,182.4098572611265
6955,5.89,61547,19215,7.53,9.35,1,81.78525135750569
295520,2.44,2162532,721376,7.3,14.98,1,208.02121103353016
523570,2.38,3323970,1215528,6.17,10.92,1,281.12773655398894
168725,1.24,874784,398613,4.68,10.12,1,861.2047421520803
1170,2.81,14395,14092,2.45,12.07,1,81.3953488372093
57615,12.2,432977,141910,5.07,12.03,1,190.69698213857586
