LESSTHAN80,LTHS_25TO34_PCT,TOT_POP,TOT_HOUSING_UNITS,UNEMPLRT,POVRT,PASSED_THRESHOLD,CDBG_PER_PR_RESID
76685,2.75,443158,195178,6.58,17.44,1,147.4050176505586
32585,2.41,255955,99179,4.08,6.82,0,120.69270798012278
6300,1.06,29155,19428,4.15,10.59,0,849.7349517791819
35300,1.4,253736,100952,4.15,6.83,0,139.50018571345404
28615,0.43,322407,120834,3.87,5.11,0,236.25540891283055
3845,0.05,19456,10687,3.31,10.99,0,568.0655066530195
15020,1.26,83445,37065,4.47,10.08,1,145.02298173460747
23255,0.47,150000,64760,4.95,11.23,1,96.07266554601668
9815,2.85,63516,28675,4.05,12.83,1,43.61210877373012
9425,3.03,45550,20577,3.85,18.25,1,347.6359735279565
3130,2.06,15999,6791,4.72,17.95,1,212.46062303115156
7940,2.15,45044,21490,6.44,19.69,1,79.62819025522042
134910,1.6,768419,347172,5.31,13.72,1,404.95514003278913
1055,2.01,6947,2821,6.39,50.71,1,326.4681453867661
3320,5.92,19228,8556,6.73,14.88,1,221.62246284501063
6665,6.54,33491,15088,13.32,29.04,1,52.66368699978369
3660,9.08,20109,9371,8.25,28.04,1,430.0957407407408
2775,4.96,22339,9430,4.1,15.89,1,190.49454216073778
9985,3.78,70763,30625,8.71,22.27,1,296.27584902011347
117670,3.02,1047661,390475,4.64,6.59,0,375.8115671685426
127140,5.35,910551,334407,6.38,8.59,0,133.93314220273544
14870,2.84,113182,45867,3.49,8.03,0,54.60712266817411
4775,5.65,25699,11476,9.23,20.03,0,281.99353226217806
102145,2.71,652617,257115,4.6,11.11,1,297.1995826960585
2755,6.18,11805,15445,5.8,18.9,1,259.8298755186722
14515,2.39,87975,36817,5.88,9.75,1,235.63319485775503
7930,0.95,53476,20614,4.87,12.83,1,44.856
4190,2.05,22427,10632,8.9,21.41,1,9.499037433155081
28900,2.46,166552,69790,3.92,11.54,1,309.4530241637649
4095,2.02,32626,13533,9.61,16.98,1,170.64846416382252
2445,6.49,15822,7919,4.39,20.99,1,521.5728977458347
73660,4.82,434903,188576,5.38,15.16,1,351.35684914320683
5525,2.36,31425,14045,7.42,17.94,1,238.77995670214685
40860,1.73,243692,103855,5.07,16.69,1,156.90225078038466
6865,3.17,37087,20252,2.92,8.51,0,675.9495663347253
25230,1.3,150575,61621,5.49,12.04,0,214.25523647857645
17495,4.22,103222,42452,7.9,15.84,0,45.149864400305574
9750,1.21,51967,56485,5.89,9.24,0,208.78008035525482
148365,2.55,602274,293936,7.56,20.03,0,336.21396755492094
10275,2.37,62421,28543,4.35,12.44,1,32.64864134108422
965,3.33,4607,2865,1.02,8.5,1,3081.2643979057593
1740,0.0,9532,4581,4.55,13.11,1,1041.8372294372293
13175,0.1,74059,31175,5.04,22.74,1,164.8720627006352
895,1.64,4985,2744,2.18,5.7,1,3381.2912087912086
630,0.0,2953,1867,3.59,8.65,1,505.8433734939759
10210,3.0,60631,25948,4.97,22.73,1,31.98792074832437
14950,2.18,97980,41535,7.01,17.41,1,115.63837136680279
8650,3.2,47118,20431,4.68,30.51,1,218.2596854502087
19830,4.44,140524,57636,5.15,11.17,1,97.43794497653788
1945,7.63,11137,5179,9.81,36.07,1,159.40860866929373
41915,1.4,213505,164064,4.05,6.73,0,71.80711907449209
22895,1.19,125927,69149,5.14,9.73,0,505.37653306957947
94685,3.1,563301,236043,5.43,10.66,0,281.1029122608904
1270,0.0,6896,3883,4.38,13.17,1,182.6265466816648
1030,4.36,4893,2194,0.84,7.84,1,1960.0
91225,2.58,515416,220638,5.19,13.35,1,98.03725758915414
29945,1.69,177293,80126,4.12,11.1,1,256.67907158895093
5310,1.7,21936,11808,9.08,29.67,1,418.16758026624905
3015,3.63,13345,6580,6.44,28.37,1,536.813922356091
4225,0.79,27049,12361,4.71,17.23,1,212.04871683340582
4670,8.09,25189,12694,5.77,26.5,1,481.71112075647187
7790,2.05,38505,19286,13.09,30.09,1,221.17863793256038
81240,2.02,391249,192012,8.54,23.03,1,328.1134546311626
22930,2.96,154679,68905,5.44,23.34,1,94.876332705405
139735,3.51,787038,313956,5.2,10.14,0,305.7791016660477
13620,0.91,70529,34164,5.42,10.49,0,2.0703609662366182
85775,3.37,466647,193713,6.2,15.73,0,408.46901705735945
22495,1.35,161361,64114,5.62,10.62,0,285.53078755700767
227345,1.46,1605899,641278,4.18,7.25,0,420.8709892945814
810,0.97,5904,3110,5.38,7.36,1,37.88968824940048
840,0.0,3594,2230,2.69,9.86,1,1242.1265706051872
720,0.92,4125,2339,4.4,11.38,1,851.1823956043955
12615,0.74,65485,32237,3.53,15.17,1,168.58789506300351
1610,1.34,9202,4285,5.65,13.04,1,3.369839932603201
15345,2.54,92090,36978,6.53,17.9,1,71.49249053153977
3240,4.46,12346,6106,12.18,29.21,1,293.54856822010106
5020,0.39,21883,11649,5.44,20.61,1,396.704342459605
20125,1.92,130376,58564,5.83,18.73,1,113.8958265720081
1650,5.37,8462,4230,4.21,26.61,1,72.14028610982926
3485,3.19,20251,9026,6.57,29.52,1,340.08085874518054
4300,2.33,23915,15221,8.63,20.04,1,614.840681914443
100855,1.38,703740,280180,4.46,5.99,0,349.5033942094626
77195,1.85,518597,208056,5.09,6.65,0,165.69355333708563
163005,2.18,801162,341231,6.83,17.39,0,564.95776711569
4060,1.41,22928,11014,5.14,12.21,1,204.02892713291834
1025,1.05,7748,3602,1.27,7.54,1,908.893115942029
535,0.0,2802,1709,2.11,6.66,1,408.06111111111113
995,0.0,6877,3312,2.02,5.66,1,39.36553524804177
975,0.36,5474,2940,1.67,9.29,1,1171.5151515151515
3310,5.68,19257,8336,7.89,21.29,1,401.5550399587523
5700,2.18,31225,16229,3.6,10.15,1,208.60174418604652
2955,0.99,17122,8168,4.22,17.21,1,431.5424610051993
7220,2.92,52856,20806,6.07,11.19,1,137.29191693839024
3450,0.61,21142,8935,4.89,14.41,1,281.2771177446103
136250,1.81,826655,336533,4.84,9.67,0,169.07191015164662
2395,0.56,10396,11210,6.07,16.34,1,628.2815476190476
1500,5.46,9098,6694,4.7,10.74,1,185.79454965357965
17020,3.27,117104,51551,3.4,8.78,1,589.5967995276055
6250,1.27,28431,16057,7.48,14.35,1,196.47235426569927
3885,1.12,23301,18121,4.24,10.28,1,95.70583262890955
1665,1.02,8600,4664,4.47,13.9,1,231.79419299743807
710,0.0,3117,2025,8.36,13.22,1,2699.6348039215686
36980,7.4,165447,68239,6.3,18.48,1,188.95579659335206
3710,4.4,21690,10195,6.03,13.11,1,501.1016346837242
2355,2.72,10616,5262,3.51,24.68,1,245.2925407925408
2450,3.08,13270,6013,5.44,21.57,1,134.88409272581936
13270,8.21,82786,37110,5.2,24.79,1,167.2372568442011
10300,3.8,53607,23643,7.3,17.38,1,492.3297496477728
8020,1.01,50020,23557,6.72,19.78,1,82.80977312390925
33645,1.99,258447,104300,5.34,10.97,1,151.35869825649803
22065,7.65,133753,56449,7.1,20.16,1,141.70952775444758
9180,1.45,61045,27785,5.31,7.86,1,136.05024106576442
20505,2.09,103506,48340,5.92,16.11,1,219.66694545454547
3340,4.22,21065,9501,5.76,17.91,1,121.18279569892474
7675,7.13,44026,19807,6.73,25.16,1,14.375590332438188
2065,7.37,12421,5525,3.48,23.8,1,162.17138955274837
4680,1.59,30815,13825,4.97,14.71,1,236.2115732368897
6865,0.12,45915,19211,3.33,7.74,1,133.56067064506962
1245,0.0,7189,3293,4.98,22.38,1,237.79327837666455
3615,5.61,24081,10441,5.47,16.18,1,839.2791064388962
4680,1.45,66508,22225,3.63,4.79,1,318.83095317170375
1800,1.14,10847,5753,3.95,17.85,1,521.376433785193
980,0.0,4435,3433,14.34,33.24,1,328.1531471389646
16805,4.88,111297,45546,6.33,18.77,1,36.53970808601732
3540,1.89,22270,11932,4.04,21.57,1,562.0057436776682
9420,3.77,59787,26769,7.36,16.87,1,696.2407225520782
7055,1.02,49315,22307,7.53,16.33,1,304.32907637888115
26425,2.74,153797,77645,6.17,16.32,1,77.31569011793412
6790,6.86,43428,20924,5.16,15.47,1,47.199496538703585
23455,2.45,133943,60889,6.39,16.65,1,142.11712835187151
8130,2.73,51613,26406,5.79,12.03,1,239.9782559272491
4400,0.78,26197,17753,4.82,9.65,1,540.7163979141596
17030,1.29,132368,49938,3.55,6.49,1,151.3095799905616
4305,4.33,19998,9085,5.56,14.07,1,648.0493827160494
7335,0.36,47361,21649,7.89,16.44,1,105.9699825760622
4560,1.95,30090,12517,5.84,15.12,1,302.67353446161394
2905,1.87,14587,6381,3.98,17.36,1,322.2525090325171
5480,0.13,26266,13025,9.32,20.19,1,176.7189389506534
13410,4.13,58595,31045,7.97,24.98,1,138.71844930971972
2165,0.32,12283,5677,5.94,20.95,1,1.9952114924181963
610,0.0,2502,1754,5.95,16.37,1,1051.5970515970516
5450,0.89,28747,13277,3.39,14.2,1,71.89272030651341
1040,0.62,6176,3232,1.75,8.57,1,43.019911504424776
4810,5.2,36451,13608,4.18,12.79,1,4.814004376367615
4590,12.0,33718,12285,4.68,11.76,1,110.9963861641714
20265,1.07,104688,50364,7.72,15.18,1,101.1377673448096
7375,1.58,45243,21769,5.55,13.72,1,569.2282962962963
49595,1.36,264403,119660,5.45,12.43,1,211.27752146056233
7475,2.6,37524,18272,8.76,16.55,1,206.7546511627907
2390,3.22,11562,5919,4.4,10.87,1,1068.0497925311204
520,0.0,2650,1422,2.89,8.6,1,982.3408071748879
635,2.63,2464,1483,4.07,13.47,1,1680.7155963302753
665,15.32,6020,2447,2.32,4.62,1,140.98901098901098
2655,2.88,13486,7026,6.06,15.5,1,159.78630403108306
2885,0.69,15503,7431,4.07,10.1,1,64.93506493506493
4330,0.24,34444,14333,2.41,3.11,1,1115.4825636192272
84215,2.6,485983,213679,7.04,15.43,0,226.79543748226425
17345,2.47,110026,49231,5.46,15.47,0,128.17804678585014
7575,2.97,45552,21191,4.2,11.06,0,69.23151515151515
22695,2.34,129486,59173,5.39,15.32,0,102.96780135823428
204115,3.94,957337,424711,5.71,16.42,0,203.57501100456412
1015,0.35,5506,3164,4.87,15.32,1,1312.8803418803418
5975,3.44,34434,14823,3.47,9.94,1,76.28497409326425
4875,1.39,28598,13122,4.47,15.56,1,200.55151667084482
5865,2.09,34012,15467,5.52,13.07,1,202.98491219391542
2275,11.38,14557,6513,3.13,8.99,1,273.01092043681746
8150,1.3,50793,22687,6.17,9.63,1,941.2907919351486
35200,1.26,181111,83680,7.55,15.64,1,150.91826121707538
3850,2.82,21092,9634,5.72,17.46,1,261.0868207370394
7120,9.42,46336,20333,3.37,12.49,0,21.51520478115662
1650,4.4,10169,4808,1.58,12.04,0,59.171597633136095
5910,4.28,35684,15398,4.87,15.6,0,91.83477425552354
28950,1.09,147318,62073,6.42,22.61,0,60.658942201001985
5920,1.09,38295,16709,3.92,11.89,0,93.93113703957904
2160,0.0,13249,5872,4.17,10.49,1,1051.7620437956205
2545,0.95,18974,8419,3.49,6.68,1,14.094324540367706
735,0.0,2854,2015,1.36,16.16,1,1415.224105960265
68030,1.59,597574,244796,3.15,4.88,1,146.731222318489
2600,0.11,16412,7435,3.73,5.73,1,63.034188034188034
2980,1.24,15571,7999,5.47,14.21,1,163.78100140383717
855,0.0,4177,2644,6.8,21.37,1,318.2246682188591
1160,1.71,5414,3163,6.53,19.48,1,495.18575553416747
935,7.34,5720,3170,2.7,9.58,1,1827.3095238095239
4870,3.51,31973,13951,4.4,12.63,1,230.18710762331838
2620,1.72,13981,6101,7.28,12.05,0,30.22974607013301
3600,2.54,19552,9243,2.81,13.42,0,39.654368932038835
3935,5.41,20854,10234,4.95,14.53,0,301.5075376884422
30695,1.61,150819,64901,3.72,17.2,0,196.49055237166198
1900,0.1,10109,4622,1.96,8.18,1,1121.3375
2805,2.43,16008,7749,3.55,15.31,1,91.00675105485232
875,0.0,5416,2542,3.16,8.71,1,1621.8358778625955
2855,1.93,15855,7618,4.13,12.86,1,1260.361
820,0.73,3494,2170,1.96,14.7,1,70.28112449799197
2880,1.22,15677,7525,4.72,13.13,1,472.2834866468842
27765,3.06,142801,66183,5.76,14.36,1,180.07909003686308
52985,1.11,261186,120618,5.44,14.42,1,265.76607983568016
5205,3.51,23735,11700,7.92,18.33,1,351.331136738056
38265,1.56,195963,91952,4.96,13.99,1,168.5740522729811
35825,0.91,225601,98022,3.92,9.39,0,54.30781712626996
380,0.0,1523,976,2.45,12.37,1,1213.1489361702127
10870,1.0,81499,29992,5.69,7.78,1,192.22354279891303
555,0.0,3013,1848,1.75,11.74,1,2320.2128612716765
1070,0.0,6897,3448,7.17,17.39,1,109.9374471682164
730,0.0,4982,2452,3.6,12.24,1,1444.5923460898503
3355,0.92,21623,10628,3.97,9.78,1,1041.5619570405727
1185,0.92,5393,2651,3.18,14.38,1,435.18518518518516
8855,1.04,44683,21895,6.76,14.94,1,102.33684050015249
4405,1.23,24694,11711,4.77,12.15,0,336.9639210347175
4460,1.42,28457,12430,4.4,11.89,0,206.21233082706766
44450,1.4,270881,117050,4.9,14.79,0,163.03769422115158
4885,0.03,33740,13889,1.82,6.93,1,174.7487986020096
1120,0.0,6053,3301,2.84,13.59,1,29.81132075471698
6775,1.48,32114,16458,5.19,18.25,1,272.38151195499296
21875,0.9,132524,58941,4.19,8.59,1,161.10449569274945
14755,1.59,76704,36035,5.84,18.99,1,344.3356803037902
2280,1.24,11390,5559,4.39,12.02,1,258.68440502586844
2420,0.69,13967,6653,5.24,7.5,1,236.42095053346264
4430,5.76,23785,10667,4.45,15.71,0,257.8198999444136
8665,2.33,44559,19395,3.55,10.7,0,107.13520462824084
3950,5.18,22996,11185,5.63,17.47,0,87.66981708844901
955,0.36,5776,2777,2.35,10.35,1,925.3100850340137
975,0.0,5297,3089,2.45,13.12,1,276.9882179675994
3390,0.0,24203,9824,2.22,7.97,1,200.78947368421052
545,0.0,2490,1407,0.81,10.28,1,2236.7486055776894
3240,9.33,16309,8003,3.73,13.22,1,163.0181648812296
2980,0.85,13712,7164,6.03,15.28,1,563.3331815932708
9255,0.95,55583,25831,3.73,9.75,1,282.9543310058502
83515,2.35,689704,245246,4.9,6.82,1,194.90014195413457
12490,2.7,66929,31435,5.25,13.92,1,166.2504358002675
33095,1.38,193302,77128,3.96,18.85,0,43.61656677308596
2345,0.61,15154,7021,3.45,9.42,0,128.72162740899358
1020,0.48,7140,3266,2.88,5.9,0,1219.5121951219512
37045,0.91,181548,84478,5.03,16.06,0,351.45145030281435
80540,2.61,485418,204110,4.57,10.36,0,296.438494299196
17285,1.38,93478,40032,4.23,10.32,0,146.71345781466113
530,2.17,2789,1449,0.64,11.51,1,3128.0094637223974
5890,1.33,33237,15378,4.02,16.14,1,363.1619937694704
5080,3.24,28557,13351,1.34,8.61,1,344.79384352287303
2025,2.25,11865,6002,4.03,8.89,1,1629.4635939086295
1665,2.49,9713,4925,2.56,8.3,1,570.2073324905183
51520,3.02,283635,125703,7.78,15.78,1,192.68404441820329
5195,0.02,38503,15625,3.63,5.86,1,137.11415525114154
60650,3.09,375520,159424,5.05,12.62,0,77.82560660029182
13775,4.26,83280,34480,4.4,12.66,0,88.27913945447561
19960,1.93,107305,47351,5.88,18.93,0,289.9404288926965
27280,0.81,172938,74662,3.98,11.88,0,167.65275910085538
2885,16.66,19551,8469,3.22,10.74,1,319.9741990291262
116135,2.44,926005,361221,4.4,6.16,1,265.67358379550626
3690,1.11,17272,8827,4.53,11.25,1,714.0767400419287
5430,0.37,34151,14936,2.63,11.18,1,603.8098481619605
7960,0.43,66875,27574,3.38,6.55,0,121.38728323699422
4890,2.65,27942,12454,4.16,13.9,0,104.68463752944255
4935,0.0,33899,14911,4.43,9.58,0,156.73981191222572
20205,0.28,97355,40663,5.69,20.0,0,45.77499043533708
3850,1.53,21418,9306,4.4,16.19,1,830.9419837804118
2830,2.72,13155,6335,4.43,12.89,1,444.5797807551766
8250,0.57,38688,18643,7.19,19.01,1,392.03344899375435
6045,3.26,34654,16340,6.83,14.56,1,375.5343535958904
1145,3.68,4983,2744,8.71,22.5,1,916.610473637176
4830,27.15,33277,12565,3.5,11.86,0,124.48347107438016
2135,4.01,12988,6425,2.91,12.95,1,246.16626065773448
7595,1.77,50798,21113,4.4,7.05,1,335.8428046366978
1420,0.0,8151,4118,3.53,13.51,1,290.9651376146789
3070,0.05,17820,9248,5.59,13.04,1,521.6898954703832
3580,2.72,26587,11436,3.97,10.47,0,146.41288433382138
6175,2.33,43193,18162,3.67,10.97,0,106.56436487638534
22770,0.77,114461,52677,6.36,21.45,0,97.65141077573065
6220,4.82,42534,17936,2.22,8.92,0,98.9153949851712
25950,1.9,131813,58187,5.34,15.48,0,61.99272055827221
17040,3.28,102687,42455,4.66,12.4,0,44.079241886000325
2430,2.69,12503,6351,4.23,15.39,1,206.4759848893686
8875,0.4,49032,22168,4.22,10.83,1,65.67950929653057
5035,1.97,27437,13514,5.67,11.48,1,242.73200911755129
13420,1.97,57517,28947,8.88,24.01,1,67.06466118778106
1475,1.49,9547,4352,4.38,12.23,1,688.8271068635969
6515,3.6,37774,17031,6.2,15.17,1,69.56037840845855
3550,0.43,21776,10160,4.29,8.13,1,710.3080568720379
30785,8.8,205184,79389,4.38,11.66,0,118.87893559091295
4595,1.05,23068,10818,4.37,18.19,0,121.24151309408342
10870,1.04,77879,33011,4.08,9.44,0,97.57083483817198
2985,1.01,16456,7937,5.44,11.63,0,261.95447326627846
1340,6.27,7877,3751,4.79,14.39,1,608.383807380738
2440,1.63,16210,6959,3.84,13.74,1,498.3318649045521
785,0.0,4493,2727,2.55,20.54,1,27.412280701754387
2875,5.55,14539,7122,3.49,14.26,1,363.73013493253376
4160,1.48,21429,13723,2.36,9.56,1,1220.0915805022157
1655,5.74,12391,5625,3.7,12.9,1,236.0
74455,4.29,531756,189301,5.02,8.47,1,174.23543817041084
17600,4.06,109924,45626,5.45,13.01,1,203.7868194737993
14200,1.35,127583,42378,4.08,4.35,1,2.6553468208092488
3425,0.92,20069,9743,6.9,14.54,0,171.15762137617884
5555,1.72,33711,15337,3.01,9.28,0,341.31933048900555
12690,1.97,66055,30489,7.29,18.44,0,20.50367581136812
30670,0.65,330455,129573,2.82,4.39,0,87.72575107594058
1615,1.14,9575,4748,4.65,14.9,1,944.6261554921541
10090,1.67,66890,27086,4.18,9.48,1,131.74216027874564
495,1.24,2604,1492,3.17,6.92,1,2770.114942528736
805,3.54,3280,2144,6.4,19.65,1,1347.7223974763408
4150,0.32,20017,9891,2.3,13.24,1,237.95404059747224
10255,2.31,50052,23890,5.23,16.7,1,45.76359832635983
90735,2.34,699682,264681,5.35,7.57,1,215.63051433552886
19120,1.59,108998,50120,5.99,13.6,1,340.99617441698086
2715,4.85,15830,7175,4.57,13.64,1,854.3364231188659
5820,1.12,34204,15086,3.34,12.01,1,463.4967672413793
6230,0.11,40164,17173,4.99,9.03,0,276.4666899246442
7805,0.91,48158,21233,4.23,13.85,0,74.04406999351912
13425,2.45,82486,39662,5.35,11.97,0,380.4446534653465
1715,2.14,8831,4588,3.17,11.17,1,1024.0942184154176
6075,2.32,35090,16223,5.06,13.77,1,139.78591340843826
5945,2.56,35757,15884,4.94,12.91,1,450.3114186851211
4545,2.25,28818,12040,5.71,10.1,1,15.904572564612327
6030,1.31,30107,14392,9.14,20.47,1,509.6642388929352
40805,1.72,307291,118900,4.73,6.55,1,281.86966464484436
32180,0.32,172164,72580,3.32,15.24,1,169.20104602678214
5720,1.53,36351,16110,2.45,11.15,0,67.12133676092544
6840,3.64,44077,19276,3.34,14.06,0,177.7347649111148
5665,1.75,32167,14529,3.38,14.58,0,115.42012927054478
15440,0.66,97193,41518,4.07,9.94,0,247.49980659718494
7975,1.58,38874,18182,5.16,20.12,1,40.91458642558359
695,4.76,2826,1795,3.87,15.87,1,867.2540415704387
3320,2.56,18614,9180,2.88,9.97,1,92.01101928374656
1325,4.34,7616,3575,1.25,15.85,1,967.0615808823529
23715,0.51,121304,51039,4.33,16.54,1,102.5176603350763
560,0.77,2822,1622,1.87,9.47,1,77.22007722007721
58045,3.15,317665,139199,4.69,13.5,0,112.38693961729963
10395,5.28,52069,25013,8.85,22.28,0,39.839826140136296
63935,2.64,378499,166765,4.96,15.83,0,69.23855672052251
14755,4.67,68027,29137,6.8,11.42,0,10.614424394099052
46285,2.68,222119,93897,6.01,13.62,0,13.67947364885291
94050,3.97,565739,236936,4.08,10.73,0,134.69263940144583
43895,1.06,308211,133236,3.39,4.59,1,419.20439266343135
23915,0.66,130161,54409,4.07,8.97,1,355.45111080203986
7800,0.44,43173,22716,2.53,11.24,1,194.40645973154363
41770,2.39,264650,128472,8.66,13.46,1,157.8406024476226
10655,1.09,57554,25826,3.95,10.78,0,331.3171877557702
7260,3.98,47335,29746,3.72,11.52,0,754.2269223205507
505,0.0,4454,8964,2.11,8.63,0,52.87206266318538
10790,1.16,61738,33850,6.12,13.61,0,344.3556131218981
17720,1.72,111454,60119,5.75,14.35,0,40.30726085798028
82990,2.14,532956,230065,5.86,15.28,0,57.299711253953674
118555,2.19,931275,359097,4.57,6.44,1,547.7181439611244
56635,0.93,446301,179955,5.42,5.91,1,163.84536382050482
86905,2.11,506721,206247,6.65,12.33,1,284.0616066675323
17175,0.63,92701,99394,6.68,9.91,1,1100.4858548762897
22835,5.58,150085,56411,7.99,16.02,1,170.92105735818404
11175,1.98,63218,27601,4.02,12.62,0,263.02665560624916
11555,2.03,70990,32381,3.88,8.45,0,256.6151813936782
133430,2.02,743084,329105,5.29,14.08,0,418.4399434027606
154595,3.34,798698,318385,7.97,15.3,1,946.358876614819
37635,1.68,291745,113945,5.3,6.96,1,65.62064445221561
129210,2.99,671923,284561,5.43,14.21,1,498.3329860006363
13050,0.84,125063,50437,3.91,3.91,1,109.85647952722668
8915,4.7,49294,23529,5.99,17.83,0,146.54973198746953
157655,3.05,1355683,473238,4.15,5.41,0,742.4248949489634
322690,1.53,1629153,884828,5.71,15.57,0,53.29568818514007
41175,1.59,210145,100539,5.24,12.43,0,540.6543708815846
37700,3.01,229074,105459,4.41,14.24,0,258.06576557652534
28825,1.85,178853,75619,4.78,9.8,0,5.860426267281106
55800,3.92,368085,145115,6.01,11.1,1,303.8804342371406
113035,2.16,825015,302650,5.82,8.67,1,168.6787056814564
81820,1.83,620821,262088,5.07,6.5,1,175.56074512848772
51890,1.64,492715,194426,4.88,4.79,1,318.635443201377
112345,1.53,602018,284773,5.34,9.88,1,113.94289718036802
80765,2.29,461591,209068,5.74,13.87,0,303.54292305938304
19245,1.62,109774,51213,3.55,9.04,0,321.0244620022871
59415,2.74,382077,144264,4.81,11.38,0,162.96029276354622
8710,5.16,40624,18576,6.0,13.8,0,804.7049798966112
21935,1.78,117630,54622,6.58,16.76,0,44.097263308893844
25695,0.75,198377,80247,7.96,12.41,0,65.75124187167478
20525,2.02,146354,58993,4.03,12.4,0,88.09130113977204
9100,3.41,61891,29561,7.54,14.04,0,39.618273872600966
85345,4.06,502763,177216,6.25,14.83,1,316.55951894289916
12005,1.43,62754,27607,7.1,13.77,1,275.5319680094787
35685,2.5,330151,127090,4.43,5.08,1,318.92991271370096
18430,0.84,140996,62492,5.25,5.18,1,152.99419328079634
9400,2.01,59593,31300,5.75,13.35,0,178.0633118131868
12120,2.99,98714,38652,4.58,5.59,0,292.5367647058824
420415,4.11,2270976,864790,5.96,11.6,0,0.09608326191144198
28355,1.62,159013,73251,5.08,10.79,0,202.00964100084613
11625,4.62,56350,27693,8.94,21.97,0,0.26910179146371666
54670,2.13,315976,133081,3.36,11.87,0,38.561438482113005
84285,4.01,555208,202823,5.79,8.79,1,530.5335294970586
17980,1.97,105730,45548,5.8,7.43,1,72.51711223040165
115380,1.47,679037,295111,5.59,15.9,0,119.68077284448403
10530,5.75,64912,27385,5.21,19.4,0,133.59276055408972
43810,5.25,325213,106621,5.42,14.55,0,78.02734125964011
18555,4.5,108352,53328,6.84,17.59,0,76.0404900748071
34890,1.58,229313,107192,3.25,5.93,0,174.70717837676398
27230,1.13,155086,69885,6.96,11.4,0,1054.49301624265
16655,1.4,99263,48003,4.61,10.52,0,20.193071150097467
14970,4.68,94287,43192,7.24,15.76,0,64.66871516069094
45515,4.0,231448,113125,5.19,14.63,0,71.29473159579332
7420,3.11,49502,21410,7.88,18.9,0,52.4859067074503
37435,2.37,217696,88937,7.68,24.83,0,19.483367911085782
8710,1.38,57865,24870,4.3,15.98,0,54.836586970826936
6935,2.15,31189,17533,5.29,11.63,0,846.7819619706137
5910,7.32,34295,16409,3.8,12.0,0,233.04373039085348
17585,2.75,95843,49688,5.7,12.72,0,239.98555175292154
196705,3.84,1481364,576804,4.55,6.46,0,110.34618655517612
31680,2.75,179961,80255,8.1,20.8,0,39.70078808814107
760,4.71,4234,2467,7.34,22.03,0,1101.2929515418502
11385,3.96,75329,50966,7.27,13.32,0,178.2256960197979
7550,1.77,48431,22571,5.65,9.89,0,99.38012231126106
19835,0.65,102237,44019,4.06,17.47,0,421.29005548745084
30460,2.78,178371,85372,5.37,13.67,0,151.19513846021948
11030,0.99,64187,40119,4.06,8.47,0,194.78235217310205
4715,3.45,22644,11592,9.87,20.44,0,4.002069798068481
174225,3.54,1095170,455602,4.73,10.9,0,70.87309268433866
11500,1.07,71956,26348,12.42,35.19,0,19.953707398834702
9835,2.0,66804,31832,9.14,19.1,0,92.91701576763485
10355,3.39,61304,29562,5.58,10.94,0,116.33915206063476
16540,3.49,90103,41792,3.67,11.21,0,276.06287904599657
135690,4.21,968738,376315,5.74,8.38,0,466.05469107291583
5875,2.41,40027,18297,4.67,8.7,0,541.8743102391171
3950,21.13,24981,13919,3.83,13.54,0,138.67433188315724
8170,1.94,43424,19835,5.66,12.24,0,326.1913252325802
1720,2.22,11091,4142,10.74,30.01,0,124.96549608763694
2905,0.93,11804,6764,4.95,16.56,0,88.80111516414799
3130,7.82,18723,8550,8.61,24.09,0,64.24525118483413
18010,1.67,144954,57429,6.55,12.14,0,24.023852280540915
18245,1.76,125608,51299,8.23,21.75,0,43.81096786192531
6725,3.26,27546,16034,5.68,25.73,0,58.40393102418633
29740,2.33,166144,71718,5.25,15.42,0,70.13175551359821
5895,4.96,37271,16538,5.78,12.3,0,3.6082216670451963
5365,1.0,27009,17835,4.42,14.83,0,5.178075271533215
7575,2.52,34895,17318,5.32,16.31,0,40.6871609403255
25050,2.16,150319,73496,4.89,13.04,0,44.96419828704905
5730,0.13,32759,21053,8.22,17.4,0,70.58923891930073
3320,3.69,15477,8064,9.08,24.1,0,129.8523783488245
8835,0.98,47160,26249,6.86,17.79,0,7.663681471620476
44680,2.12,259576,125872,3.16,11.49,0,123.97687682830299
26895,0.66,160390,72524,3.43,9.6,0,28.36470783974444
4425,3.6,24606,11007,5.93,12.61,1,318.5936715135492
330340,3.07,2228866,912465,6.99,13.36,1,190.0845165545353
58190,2.1,306165,142246,4.59,12.07,0,144.78697005988025
8095,5.33,46304,26376,5.2,16.72,0,55.87682521324273
377025,5.12,1427056,533434,10.06,26.96,0,0.08657201459737354
16795,4.35,90148,41393,6.64,18.53,0,7.009977212539262
30170,2.99,211605,81102,4.97,9.63,0,114.10427460883342
6940,0.43,48486,24570,4.08,7.47,1,22.253129346314324
7295,4.43,52537,21788,4.27,11.89,1,106.20607195181508
2890,8.66,16834,7590,3.79,14.67,1,82.00082000820008
35155,2.44,192042,91155,7.63,18.54,0,540.6117425766
14895,3.37,76750,41681,5.59,16.88,0,176.74087413422498
13615,3.9,76958,37131,4.8,12.33,0,351.64110538694143
25690,3.11,127584,67656,5.48,17.76,0,264.774789614216
14460,2.26,84115,38983,5.86,14.66,0,408.42253470437015
24105,1.4,158507,69509,6.03,12.38,0,42.89792372441026
910,2.72,5177,2733,5.06,5.44,1,595.1264372469636
